Maker,Genmodel,Genmodel_ID,2022,2023,2024,2025,2026
Abarth,124 Spider,2_1,30933.292828,32011.817599119997,33181.125443684796,34430.555059852195,35753.30648114029
Abarth,500,2_2,16743.82470761453,17375.894116596195,18044.551375734,18747.868476895135,19484.85774826318
Abarth,500C,2_3,19115.05881734931,19825.31706095204,20580.28886702626,21376.871808252603,22213.306651164417
Abarth,595,2_4,16664.849928932497,17233.406958086347,17854.117358807387,18520.243938837993,19227.42701636633
Abarth,695,2_6,21980.59963184,22724.6617231136,23539.034866238144,24414.366932827674,25344.58108049878
Abarth,Grande Punto,2_8,20067.90481031168,20865.529069988646,21696.58587987334,22561.954268027876,23462.685905820712
Abarth,Punto Evo,2_9,20997.535476548917,21812.841259154273,22668.137964000824,23562.811620697124,24496.8877822204
Alfa Romeo,147,4_1,20708.094551908453,21533.931901736927,22393.5486752329,23288.072270440767,24218.74231499738
Alfa Romeo,156,4_2,29641.64329725486,30827.782262136156,32061.22481571537,33343.90569250962,34677.824239125956
Alfa Romeo,159,4_4,30315.39789261835,31533.58124808755,32798.82170584618,34113.50261956462,35479.95235618642
Alfa Romeo,166,4_6,37046.27220897911,38526.73599035407,40066.83445507929,41668.8281508602,43335.10549919903
Alfa Romeo,4C,4_7,56487.860771119995,58618.011722964795,60872.17775658339,63243.676762136725,65729.0521593252
Alfa Romeo,Brera,4_9,34949.48894209799,36340.298740694365,37788.891858960866,39296.934351366406,40866.35249805404
Alfa Romeo,GT,4_12,27878.51776933661,28986.669043582027,30141.24319975567,31343.46810384716,32594.809451271925
Alfa Romeo,GTV,4_13,36078.8761196235,37520.721957747315,39020.634391394415,40580.818255786246,42203.60192813293
Alfa Romeo,Giulia,4_10,32278.21221096,33405.9262383984,34627.773165234335,35932.81100595371,37314.072286068855
Alfa Romeo,Giulietta,4_11,21025.35021307035,21820.564793360445,22661.32778533196,23545.33917691121,24471.44354010383
Alfa Romeo,MiTo,4_14,14037.263992098156,14536.356506110307,15074.13213438448,15646.522377380692,16250.980742810503
Alfa Romeo,Spider,4_15,37772.37812667666,39276.94050104005,40843.58519558907,42474.225555567835,44171.02244429919
Alfa Romeo,Stelvio,4_16,36925.8767752,38175.849276208,39543.93944825632,41014.43636688658,42577.13136005204
Aston Martin,DB11,6_2,159947.18813919998,164850.933364768,170399.0710893587,176482.90420593307,183029.7295652704
Aston Martin,DB7,6_3,181368.6193894454,188621.92731034744,196165.7986044883,204011.7264898767,212171.70270831796
Aston Martin,DB9,6_4,164628.03073038405,171042.74519803748,177765.17027286562,184792.2777706149,192125.51936222377
Aston Martin,DBS,6_5,237524.65226586047,246954.92848371575,256783.628712119,267020.326022942,277676.8855774965
Aston Martin,Rapide,6_6,164302.285710246,170014.2877394519,176212.7966695872,182839.86473076075,189858.44865606425
Aston Martin,Vanquish,6_8,216057.51374054395,223854.36311877117,232216.72182354584,241091.1196225043,250444.7746556162
Aston Martin,Vantage,6_9,126558.09068666789,132718.66425071552,138796.1857763508,144886.17567632947,151058.3224316299
Aston Martin,Virage,6_10,196406.6233964504,204093.4088324134,212138.50953578344,220541.00496226625,229304.5136922929
Audi,A1,7_1,16587.681747733746,17226.83869444082,17898.86701597686,18602.89003824682,19338.653478918313
Audi,A2,7_2,22475.47586599997,23373.402675601657,24307.574225098895,25279.342003834077,26290.141050799295
Audi,A3,7_3,22224.31175014307,23149.85022510015,24101.440437570105,25083.415397499077,26099.294153097355
Audi,A4,7_5,29585.567523457194,30781.958318938436,32022.31431787604,33309.56125691713,34646.39176362204
Audi,A5,7_9,33503.908123000234,34884.40635705056,36308.02194772381,37780.11036110662,39305.15205038259
Audi,A6,7_11,35635.22601941233,36969.447174459034,38384.39354142654,39875.08721907601,41438.813263033735
Audi,A7,7_15,50752.09265709894,52637.471279322854,54641.67657165375,56756.43814333048,58977.0618252311
Audi,A8,7_16,69357.75992566682,72136.46511389318,75025.00007228868,78028.15352286807,81150.78707716429
Audi,Q2,7_18,23232.159610559997,24089.8481749824,25003.323627981696,25968.37364130096,26982.550534693
Audi,Q3,7_19,28333.47180368999,29357.997509021396,30456.14819261091,31621.07566857541,32848.59577910047
Audi,Q5,7_20,40765.10841585514,42589.7418931722,44429.15196737709,46301.39232500677,48220.00001326126
Audi,Q7,7_21,54469.82310411293,56690.74117834465,58987.85843052548,61368.01409127943,63837.18358140366
Audi,Q8,7_49,69691.78430896,72050.9107953184,74632.96580693114,77408.29744506838,80357.63844697311
Audi,R8,7_23,119003.7675338744,123596.35642184647,128422.91740935232,133477.7288171688,138759.3642678652
Audi,TT,7_46,30834.75106442858,32021.382668338403,33269.507068004816,34577.37571577802,35944.43259994625
Bmw,1 Series,8_1,23432.554398918855,24401.1110539632,25399.03363148304,26430.309671495284,27498.24234468214
Bmw,2 Series,8_2,25438.0626945,26316.5226119868,27271.839703261037,28294.57262214781,29378.657058563156
Bmw,3 Series,8_5,32455.357009695173,34317.22261078662,36084.46743971064,37804.035284443846,39509.529098822946
Bmw,4 Series,8_7,33125.65112986,34292.955157558004,35554.26795161284,36899.15488110412,38321.02242434702
Bmw,5 Series,8_9,38036.93983857145,39627.01080204642,41260.10659308075,42944.12160807072,44685.41399828026
Bmw,6 Series,8_11,45963.8396238949,46336.61733672643,47164.0389197085,48332.370299155955,49762.90398698357
Bmw,7 Series,8_14,66296.21220423482,68703.12130589558,71279.78858757534,74010.95983168912,76887.38401538423
Bmw,Alpina B3,8_16,62197.73297403249,64365.07746510595,66715.28518418869,69226.8198258912,71885.93888296132
Bmw,Alpina B5,8_18,81064.9806716552,83848.25485047224,86880.6575108567,90130.81453774688,93578.4986277759
Bmw,Alpina B6,8_19,103928.03264616698,107488.10484809287,111369.69466927204,115531.92839512174,119948.41768828178
Bmw,Alpina D5 Bi-Turbo,8_23,61983.245544643985,64090.837668489185,66394.25478667037,68867.87350614631,71495.08241599855
Bmw,X1,8_35,28852.708509493248,29936.81076680847,31085.27893933566,32294.38711620748,33562.15051436465
Bmw,X2,8_36,32558.18239424,33660.3047060096,34866.573405449984,36163.135899507986,37540.991025976306
Bmw,X3,8_37,37210.35178330197,38672.453416516175,40200.93284649431,41796.07706567633,43458.89498202895
Bmw,X4,8_38,41632.34300528,43116.507014211194,44714.37649688365,46414.19799823179,48208.638427192025
Bmw,X5,8_39,51671.19198575559,53647.66165945611,55730.303521823575,57915.23043988896,60200.84000151923
Bmw,X6,8_41,62455.59020923408,65106.267340383856,67817.2354999455,70604.62714610572,73481.10379026362
Bmw,Z3,8_43,37822.64901292111,39334.94252102787,40907.91150518193,42543.927863708275,44245.47490707995
Bmw,Z4,8_45,31948.21800204173,33114.70597348681,34361.28568838067,35681.13114908397,37070.15221826498
Bmw,i3,8_27,35726.41551411999,37058.82953170479,38473.532890886985,39965.11933106227,41530.57569148262
Bmw,i8,8_28,116025.5846815,120042.59023705,124407.481364335,129078.0118813705,134027.0942403488
Bentley,Arnage,10_1,256310.6324241856,266534.0885994094,277175.17375816527,288247.9858388375,299767.968863633
Bentley,Bentayga,10_3,150478.25516639996,154901.21786025597,159979.9493157062,165597.02520706246,171673.42075845457
